Курильск;Сахалинская область;Дальневосточный;2070
Курлово;Владимирская область;Центральный;6791
Куровское;Московская область;Центральный;21821
Курск;Курская область;Центральный;414595
Куртамыш;Курганская область;Уральский;17098
Курчалой;Чечня;Северо-Кавказский;25672
Курчатов;Курская область;Центральный;42691
Куса;Челябинская область;Уральский;18792
Кушва;Свердловская область;Уральский;33027
Кызыл;Тыва;Сибирский;109906
Кыштым;Челябинская область;Уральский;38950
Кяхта;Бурятия;Сибирский;20013
Лабинск;Краснодарский край;Южный;62822
Лабытнанги;Ямало-Ненецкий АО;Уральский;26948
Лагань;Калмыкия;Южный;14323
Ладушкин;Калининградская область;Северо-Западный;3788
Лаишево;Татарстан;Приволжский;7735
Лакинск;Владимирская область;Центральный;15707
Лангепас;Ханты-Мансийский АО - Югра;Уральский;41675
Лахденпохья;Карелия;Северо-Западный;7818
Лебедянь;Липецкая область;Центральный;20991
Лениногорск;Татарстан;Приволжский;64145
Ленинск;Волгоградская область;Южный;15527
Ленинск-Кузнецкий;Кемеровская область;Сибирский;101666
Ленск;Якутия;Дальневосточный;24955
Лермонтов;Ставропольский край;Северо-Кавказский;22540
Лесной;Свердловская область;Уральский;52464
Лесозаводск;Приморский край;Дальневосточный;36975
Лесосибирск;Красноярский край;Сибирский;61146
Ливны;Орловская область;Центральный;50430
Ликино-Дулёво;Московская область;Центральный;31331
Липецк;Липецкая область;Центральный;508124
Липки;Тульская область;Центральный;8741
Лиски;Воронежская область;Центральный;55864
Лихославль;Тверская область;Центральный;12259
Лобня;Московская область;Центральный;74350
Лодейное Поле;Ленинградская область;Северо-Западный;21053
Лосино-Петровский;Московская область;Центральный;22550
Луга;Ленинградская область;Северо-Западный;36409
Луза;Кировская область;Приволжский;11262
Лукоянов;Нижегородская область;Приволжский;14949
Луховицы;Московская область;Центральный;29849
Лысково;Нижегородская область;Приволжский;21882
Лысьва;Пермский край;Приволжский;67712
Лыткарино;Московская область;Центральный;55147
Льгов;Курская область;Центральный;21452
Любань;Ленинградская область;Северо-Западный;4188
Люберцы;Московская область;Центральный;171978
Любим;Ярославская область;Центральный;5553
Людиново;Калужская область;Центральный;40550
Лянтор;Ханты-Мансийский АО - Югра;Уральский;38922
Магадан;Магаданская область;Дальневосточный;95925
Магас;Ингушетия;Северо-Кавказский;2505
Магнитогорск;Челябинская область;Уральский;408401
Майкоп;Адыгея;Южный;144055
Майский;Кабардино-Балкария;Северо-Кавказский;26755
Макаров;Сахалинская область;Дальневосточный;6788
Макарьев;Костромская область;Центральный;7114
Макушино;Курганская область;Уральский;8337
Малая Вишера;Новгородская бласть;Северо-Западный;12461
Малгобек;Ингушетия;Северо-Кавказский;31076
Малмыж;Кировская область;Приволжский;8265
Малоархангельск;Орловская область;Центральный;3872
Малоярославец;Калужская область;Центральный;30401
Мамадыш;Татарстан;Приволжский;14432
Мамоново;Калининградская область;Северо-Западный;7757
Мантурово;Костромская область;Центральный;17479
Мариинск;Кемеровская область;Сибирский;40522
Мариинский Посад;Чувашия;Приволжский;10186
Маркс;Саратовская область;Приволжский;31535
Махачкала;Дагестан;Северо-Кавказский;577990
Мглин;Брянская область;Центральный;7916
Мегион;Ханты-Мансийский АО - Югра;Уральский;49471
Медвежьегорск;Карелия;Северо-Западный;15536
Медногорск;Оренбургская область;Приволжский;27253
Медынь;Калужская область;Центральный;8298
Межгорье;Башкортостан;Приволжский;17353
Междуреченск;Кемеровская область;Сибирский;101995
Мезень;Архангельская область;Северо-Западный;3599
Меленки;Владимирская область;Центральный;15208
Мелеуз;Башкортостан;Приволжский;61408
Менделеевск;Татарстан;Приволжский;22075
Мензелинск;Татарстан;Приволжский;16474
Мещовск;Калужская область;Центральный;4101
Миасс;Челябинская область;Уральский;151812
Микунь;Коми;Северо-Западный;10732
Миллерово;Ростовская область;Южный;36493
Минеральные Воды;Ставропольский край;Северо-Кавказский;76715
Минусинск;Красноярский край;Сибирский;71171
Миньяр;Челябинская область;Уральский;10195
Мирный;Якутия;Дальневосточный;37179
Мирный;Архангельская область;Северо-Западный;30259
Михайлов;Рязанская область;Центральный;11783
Михайловка;Волгоградская область;Южный;59153
Михайловск;Свердловская область;Уральский;9215
Михайловск;Ставропольский край;Северо-Кавказский;71018
Мичуринск;Тамбовская область;Центральный;98758
Могоча;Забайкальский край;Сибирский;13228
Можайск;Московская область;Центральный;31388
Можга;Удмуртия;Приволжский;47959
Моздок;Северная Осетия - Алания;Северо-Кавказский;38748
Мончегорск;Мурманская область;Северо-Западный;45381
Морозовск;Ростовская область;Южный;27644
Моршанск;Тамбовская область;Центральный;41550
Мосальск;Калужская область;Центральный;4285
Москва;Москва;Центральный;11514330
Муравленко;Ямало-Ненецкий АО;Уральский;33401
Мураши;Кировская область;Приволжский;6752
Мурино;Ленинградская область;Северо-Западный;19775
Мурманск;Мурманская область;Северо-Западный;307664
Муром;Владимирская область;Центральный;116078
Мценск;Орловская область;Центральный;43216
Мыски;Кемеровская область;Сибирский;43029
Мытищи;Московская область;Центральный;173341
Мышкин;Ярославская область;Центральный;5932
Набережные Челны;Татарстан;Приволжский;513242
Навашино;Нижегородская область;Приволжский;16413
Наволоки;Ивановская область;Центральный;10207
Надым;Ямало-Ненецкий АО;Уральский;46550
Назарово;Красноярский край;Сибирский;52829
Назрань;Ингушетия;Северо-Кавказский;93357
Называевск;Омская область;Сибирский;12119
Нальчик;Кабардино-Балкария;Северо-Кавказский;240095
Нариманов;Астраханская область;Южный;11386
Наро-Фоминск;Московская область;Центральный;64640
Нарткала;Кабардино-Балкария;Северо-Кавказский;31679
Нарьян-Мар;Ненецкий АО;Северо-Западный;21296
Находка;Приморский край;Дальневосточный;159695
Невель;Псковская область;Северо-Западный;16324
Невельск;Сахалинская область;Дальневосточный;11682
Невинномысск;Ставропольский край;Северо-Кавказский;118351
Невьянск;Свердловская область;Уральский;25147
Нелидово;Тверская область;Центральный;22886
Неман;Калининградская область;Северо-Западный;11794
Нерехта;Костромская область;Центральный;22817
Нерчинск;Забайкальский край;Сибирский;14976
Нерюнгри;Якутия;Дальневосточный;61746
Нестеров;Калининградская область;Северо-Западный;4584
